sample_reason,url,language,type,handle,policy_group,matched_terms,language_mismatch_flags,other_flags,status,final_url,redirected,robots_meta,x_robots_tag,canonical,canonical_self,h1,title,fetch_error
all_pages,https://www.matchwalls.com/en/pages/request-your-sample,en,pages,request-your-sample,sample_information_page,en_sample,,,200,https://www.matchwalls.com/en/pages/request-your-sample,no,,,https://www.matchwalls.com/en/pages/request-your-sample,yes,Request a wallpaper sample — MatchWalls,Wallpaper samples — MatchWalls,
all_pages,https://www.matchwalls.com/pages/instalacion-y-muestras-murales,es,pages,instalacion-y-muestras-murales,sample_information_page,es_muestra,,,200,https://www.matchwalls.com/pages/instalacion-y-muestras-murales,no,,,https://www.matchwalls.com/pages/instalacion-y-muestras-murales,yes,Instalacion y muestras murales,Instalacion y muestras murales,
all_pages,https://www.matchwalls.com/pages/muestras,es,pages,muestras,sample_information_page,es_muestra,,,200,https://www.matchwalls.com/pages/muestras,no,,,https://www.matchwalls.com/pages/muestras,yes,Solicita muestras de papel pintado,Muestras de papel pintado - MatchWalls,
all_pages,https://www.matchwalls.com/fr/pages/demandez-votre-echantillon,fr,pages,demandez-votre-echantillon,sample_information_page,fr_echantillon,,,200,https://www.matchwalls.com/fr/pages/demandez-votre-echantillon,no,,,https://www.matchwalls.com/fr/pages/demandez-votre-echantillon,yes,Demandez un échantillon de papier peint — MatchWalls,Échantillons de papier peint — MatchWalls,
all_pages,https://www.matchwalls.com/fr/pages/echantillons-dinstallation-et-murale,fr,pages,echantillons-dinstallation-et-murale,sample_information_page,fr_echantillon,,,200,https://www.matchwalls.com/fr/pages/echantillons-dinstallation-et-murale,no,,,https://www.matchwalls.com/fr/pages/echantillons-dinstallation-et-murale,yes,Échantillons d'installation et murale,Échantillons d'installation et murale,
all_pages,https://www.matchwalls.com/it/pages/richiedi-il-tuo-campione,it,pages,richiedi-il-tuo-campione,sample_information_page,it_campione,out_of_priority_language,,200,https://www.matchwalls.com/it/pages/richiedi-il-tuo-campione,no,,,https://www.matchwalls.com/it/pages/richiedi-il-tuo-campione,yes,Richiedi il tuo campione di carta da parati,Campioni di carta da parati – MatchWalls,
all_pages,https://www.matchwalls.com/pt/pages/amostras-de-instalacao-e-mural,pt,pages,amostras-de-instalacao-e-mural,sample_information_page,pt_amostra,out_of_priority_language,,200,https://www.matchwalls.com/pt/pages/amostras-de-instalacao-e-mural,no,,,https://www.matchwalls.com/pt/pages/amostras-de-instalacao-e-mural,yes,Amostras de instalação e mural,Amostras de instalação e mural,
all_pages,https://www.matchwalls.com/pt/pages/solicite-sua-amostra,pt,pages,solicite-sua-amostra,sample_information_page,pt_amostra,out_of_priority_language,,200,https://www.matchwalls.com/pt/pages/solicite-sua-amostra,no,,,https://www.matchwalls.com/pt/pages/solicite-sua-amostra,yes,Solicite sua amostra de papel de parede,Amostras de papel de parede – MatchWalls,
anomaly_en_url_contains_muestra,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,en,products,muestra-de-wildflower-whisper-lila,sample_product_candidate,es_muestra,en_url_contains_muestra,,200,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,no,,,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila,yes,Wildflower Whisper Lila,Wildflower Whisper Lila,
anomaly_fr_url_contains_muestra,https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,fr,products,muestra-de-wildflower-whisper-lila,sample_product_candidate,es_muestra,fr_url_contains_muestra,,200,https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,no,,,https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,yes,Wildflower Whisper Lila,Wildflower Whisper Lila,
anomaly_out_of_priority_language,https://www.matchwalls.com/it/products/armony-rosa-stripe-sample,it,products,armony-rosa-stripe-sample,sample_product_candidate,en_sample,out_of_priority_language,,200,https://www.matchwalls.com/it/products/armony-rosa-stripe-sample,no,,,https://www.matchwalls.com/it/products/armony-rosa-stripe-sample,yes,Armony Rosa Stripe Sample,Armony Rosa Stripe Sample,
