lot,checked_at_utc,user_agent,url,path,robots_allowed,decision,matched_pattern,matched_pattern_len
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.844622+00:00,GPTBot,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.845623+00:00,GPTBot,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.845623+00:00,GPTBot,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.846622+00:00,GPTBot,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.847623+00:00,GPTBot,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.847623+00:00,GPTBot,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.848623+00:00,GPTBot,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.848623+00:00,GPTBot,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.849622+00:00,GPTBot,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.849622+00:00,GPTBot,https://www.matchwalls.com/recommendations/products?product_id=1,/recommendations/products?product_id=1,False,disallow,/recommendations/products,25
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.850627+00:00,ChatGPT-User,https://www.matchwalls.com/,/,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.851629+00:00,ChatGPT-User,https://www.matchwalls.com/products/custom-file-uploader,/products/custom-file-uploader,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.852630+00:00,ChatGPT-User,https://www.matchwalls.com/pages/papel-pintado-espana,/pages/papel-pintado-espana,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.853646+00:00,ChatGPT-User,https://www.matchwalls.com/en/pages/spain-wallpaper,/en/pages/spain-wallpaper,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.854627+00:00,ChatGPT-User,https://www.matchwalls.com/fr/pages/papier-peint-en-france,/fr/pages/papier-peint-en-france,True,allow,/,1
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.855627+00:00,ChatGPT-User,https://www.matchwalls.com/collections/papeles-pintados?sort_by=best-selling,/collections/papeles-pintados?sort_by=best-selling,False,disallow,/collections/*sort_by*,20
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.855627+00:00,ChatGPT-User,https://www.matchwalls.com/collections/foo+bar,/collections/foo+bar,False,disallow,/collections/*+*,14
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.856634+00:00,ChatGPT-User,https://www.matchwalls.com/cart/,/cart/,False,disallow,/cart/,6
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.857622+00:00,ChatGPT-User,https://www.matchwalls.com/checkout,/checkout,False,disallow,/checkout,9
MW-CRAWLERS-BING-COPILOT-AI-ROBOTS-DIAG-013B,2026-07-04T16:40:02.857622+00:00,ChatGPT-User,https://www.matchwalls.com/cdn/wpm/test.js,/cdn/wpm/test.js,False,disallow,/cdn/wpm/*.js,12
