source_path,final_status,redirect_hops,final_url,canonical,h1,title,meta_robots,x_robots_tag,visible_noindex,chain
/collections/murales-para-habitaciones-de-adolescentes,200,0,https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes
/collections/murales-para-la-cocina,200,0,https://www.matchwalls.com/collections/murales-para-la-cocina,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-la-cocina
/collections/murales-para-un-espacio-publico,200,0,https://www.matchwalls.com/collections/murales-para-un-espacio-publico,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-un-espacio-publico
/collections/murales-para-una-oficina-comercial,200,0,https://www.matchwalls.com/collections/murales-para-una-oficina-comercial,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-una-oficina-comercial
/collections/murales-para-una-oficina-en-casa,200,0,https://www.matchwalls.com/collections/murales-para-una-oficina-en-casa,,,,,,no,200 https://www.matchwalls.com/collections/murales-para-una-oficina-en-casa
/collections/novedades-en-papeles-pintados,200,1,https://www.matchwalls.com/collections/nuevos-matchwalls-murales,,,,,,no,301 https://www.matchwalls.com/collections/novedades-en-papeles-pintados -> /collections/nuevos-matchwalls-murales | 200 https://www.matchwalls.com/collections/nuevos-matchwalls-murales
/collections/nuevos-cuadros-matchwalls,200,1,https://www.matchwalls.com/,,,,,,no,301 https://www.matchwalls.com/collections/nuevos-cuadros-matchwalls -> / | 200 https://www.matchwalls.com/
/collections/nuevos-lienzos-matchwalls,200,1,https://www.matchwalls.com/,,,,,,no,301 https://www.matchwalls.com/collections/nuevos-lienzos-matchwalls -> / | 200 https://www.matchwalls.com/
/collections/nuevos-matchwalls-murales,200,0,https://www.matchwalls.com/collections/nuevos-matchwalls-murales,,,,,,no,200 https://www.matchwalls.com/collections/nuevos-matchwalls-murales
/collections/papel-pintado-estampado-grande,404,0,https://www.matchwalls.com/collections/papel-pintado-estampado-grande,,,,,,no,404 https://www.matchwalls.com/collections/papel-pintado-estampado-grande
/collections/papel-pintado-estampados-pequenos,200,0,https://www.matchwalls.com/collections/papel-pintado-estampados-pequenos,,,,,,no,200 https://www.matchwalls.com/collections/papel-pintado-estampados-pequenos
/collections/papel-pintado-rayas,200,1,https://www.matchwalls.com/collections/murales-estilo-a-rayas,,,,,,no,301 https://www.matchwalls.com/collections/papel-pintado-rayas -> /collections/murales-estilo-a-rayas | 200 https://www.matchwalls.com/collections/murales-estilo-a-rayas
/collections/papeles-pintados,200,1,https://www.matchwalls.com/collections/murales,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados -> /collections/murales | 200 https://www.matchwalls.com/collections/murales
/collections/papeles-pintados-color-amarillo,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-amarillo,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-amarillo
/collections/papeles-pintados-color-azul,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-azul,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-azul
/collections/papeles-pintados-color-beige,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-beige,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-beige
/collections/papeles-pintados-color-blanco,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-blanco,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-blanco
/collections/papeles-pintados-color-blanco-y-negro,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro
/collections/papeles-pintados-color-dorado,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-dorado,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-dorado
/collections/papeles-pintados-color-gris,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-gris,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-gris
/collections/papeles-pintados-color-lila,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-lila,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-lila
/collections/papeles-pintados-color-marron,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-marron,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-marron
/collections/papeles-pintados-color-multicolor,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-multicolor,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-multicolor
/collections/papeles-pintados-color-negro,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-negro,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-negro
/collections/papeles-pintados-color-plateado,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-plateado,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-plateado
/collections/papeles-pintados-color-rosa,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-rosa,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-rosa
/collections/papeles-pintados-color-verde,200,0,https://www.matchwalls.com/collections/papeles-pintados-color-verde,,,,,,no,200 https://www.matchwalls.com/collections/papeles-pintados-color-verde
/collections/papeles-pintados-estilo-artistico,200,1,https://www.matchwalls.com/collections/murales-estilo-artistico,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-artistico -> /collections/murales-estilo-artistico | 200 https://www.matchwalls.com/collections/murales-estilo-artistico
/collections/papeles-pintados-estilo-botanico,200,1,https://www.matchwalls.com/collections/murales-estilo-botanico,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-botanico -> /collections/murales-estilo-botanico | 200 https://www.matchwalls.com/collections/murales-estilo-botanico
/collections/papeles-pintados-estilo-estructural,200,1,https://www.matchwalls.com/collections/murales-estilo-estructura,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-estructural -> /collections/murales-estilo-estructura | 200 https://www.matchwalls.com/collections/murales-estilo-estructura
/collections/papeles-pintados-estilo-floral,200,1,https://www.matchwalls.com/collections/murales-estilo-floral,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-floral -> /collections/murales-estilo-floral | 200 https://www.matchwalls.com/collections/murales-estilo-floral
/collections/papeles-pintados-estilo-geometrico,200,1,https://www.matchwalls.com/collections/murales-estilo-geometrico,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-geometrico -> /collections/murales-estilo-geometrico | 200 https://www.matchwalls.com/collections/murales-estilo-geometrico
/collections/papeles-pintados-estilo-grafico,200,1,https://www.matchwalls.com/collections/murales-estilo-grafico,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-grafico -> /collections/murales-estilo-grafico | 200 https://www.matchwalls.com/collections/murales-estilo-grafico
/collections/papeles-pintados-estilo-japones,200,1,https://www.matchwalls.com/collections/murales-estilo-japones,,,,,,no,301 https://www.matchwalls.com/collections/papeles-pintados-estilo-japones -> /collections/murales-estilo-japones | 200 https://www.matchwalls.com/collections/murales-estilo-japones
