lote,page,locale,target,present_on_landing,destination_status,destination_canonical_present,destination_noindex,status_final
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,fr,/fr/collections/tous-les-peintures-murales-matchwallsmurals,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,fr,/fr/pages/demandez-votre-echantillon,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,fr,/fr/pages/creez-votre-propre-murale,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,fr,/fr/pages/professionnels,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,fr,/fr/collections/tous-les-peintures-murales-matchwallsmurals,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,fr,/fr/pages/demandez-votre-echantillon,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,fr,/fr/pages/creez-votre-propre-murale,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,fr,/fr/pages/professionnels,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,de,/de/collections/alle-matchwallsmurals-wandbilder,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,de,/de/pages/fordern-sie-ihr-beispiel-an,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,de,/de/pages/erstellen-sie-ihr-eigenes-wandbild,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,de,/de/pages/profis,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,de,/de/collections/alle-matchwallsmurals-wandbilder,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,de,/de/pages/fordern-sie-ihr-beispiel-an,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,de,/de/pages/erstellen-sie-ihr-eigenes-wandbild,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,de,/de/pages/profis,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,nl,/nl/collections/alle-matchwallsmurals-muurschilderingen,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,nl,/nl/pages/vraag-uw-monster-aan,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,nl,/nl/pages/maak-je-eigen-muurschildering,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,Spain,nl,/nl/pages/professionals-1,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,nl,/nl/collections/alle-matchwallsmurals-muurschilderingen,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,nl,/nl/pages/vraag-uw-monster-aan,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,nl,/nl/pages/maak-je-eigen-muurschildering,true,200,true,false,VERIFICADO Y CORRECTO
MW-GEO-LANDINGS-SPAIN-FRANCE-LINKS-HREFLANG-SCHEMA-QA-012L,France,nl,/nl/pages/professionals-1,true,200,true,false,VERIFICADO Y CORRECTO
