product_gid,legacy_resource_id,representative_title,url,present_in_product_sitemap,estado,source_block
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/fr/products/echantillon-de-dames-classiques-lilas,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/de/products/lilac-classic-ladies-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/nl/products/lilac-classic-ladies-sample-2,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/it/products/campione-di-signore-classiche-lilla,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835719668088,14835719668088,Muestra de Damas Clásicas Lila,https://www.matchwalls.com/pt/products/amostra-de-senhoras-classicas-lilac,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/products/muestra-de-floral-symphony-multicolor,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/en/products/floral-symphony-multicolor-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/fr/products/echantillon-multicolore-a-symphonie-florale,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/de/products/floral-symphony-multicolor-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/nl/products/bloemen-symphony-multicolor-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/it/products/campione-multicolore-sinfonico-floreale,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835714818424,14835714818424,Muestra de Floral Symphony Multicolor,https://www.matchwalls.com/pt/products/amostra-de-multicolor-sinfonia-floral,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/products/muestra-de-golden-woodland-rosa,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/en/products/golden-woodland-rose-sample-1,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/fr/products/echantillon-de-rose-des-bois-dores,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/de/products/goldene-waldrosenprobe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/nl/products/gouden-woodland-rose-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/it/products/campione-di-rose-boschive-dorate,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717276024,14835717276024,Muestra de Golden Woodland Rosa,https://www.matchwalls.com/pt/products/amostra-de-rosa-de-floresta-dourada,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/products/muestra-de-golden-woodland-verde,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/en/products/golden-woodland-golden-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/fr/products/echantillon-dor-des-bois-dores,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/de/products/goldene-waldgoldene-probe,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/nl/products/gouden-woodland-golden-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/it/products/golden-woodland-golden-sample-2,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14835717243256,14835717243256,Muestra de Golden Woodland Verde,https://www.matchwalls.com/pt/products/amostra-dourada-da-floresta-dourada,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14858207756664,14858207756664,Muestra de Green Meadow Dreams,https://www.matchwalls.com/products/muestra-de-green-meadow-dreams,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14858207756664,14858207756664,Muestra de Green Meadow Dreams,https://www.matchwalls.com/en/products/green-meadow-dreams-sample,no,CORREGIDO Y VERIFICADO,01
gid://shopify/Product/14858207756664,14858207756664,Muestra de Green Meadow Dreams,https://www.matchwalls.com/fr/products/echantillon-de-reves-de-prairie-verte,no,CORREGIDO Y VERIFICADO,01
