lote;timestamp;url;user_agent;run;status;duration_ms;response_length;x_request_id;cf_ray;server;content_type;cache_control;edge;theme_id;page_type;served_by;render_ms;marker
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:10+02:00;https://www.matchwalls.com/;PerplexityBot;3;500;3093;11009;b06eb6f5-4aac-495b-8148-073048253571-1783249990;a165f058fe1b2183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;jxcr;1300;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:14+02:00;https://www.matchwalls.com/;PerplexityBot;4;500;3102;11009;70b432b3-265e-4e56-b20f-4e09c4060676-1783249993;a165f06c4d242183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;r9v4;1118;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:17+02:00;https://www.matchwalls.com/;Googlebot;1;200;1615;1716597;7a233d64-edd5-4bed-8efc-bf73995d82d4-1783249996;a165f07fbcc22183-MAD;cloudflare;text/html; charset=utf-8;;MAD;178399019384;index;k77s;;html
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:18+02:00;https://www.matchwalls.com/;Googlebot;2;500;3327;11009;6e430cb7-655e-4749-968d-4e4f0ea0c95c-1783249998;a165f089cc712183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;jw58;1195;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:22+02:00;https://www.matchwalls.com/;Googlebot;3;200;1601;1716597;02bf863d-1f96-4373-a921-69a4bd84be24-1783250001;a165f09e9d062183-MAD;cloudflare;text/html; charset=utf-8;;MAD;178399019384;index;2ckt;;html
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:23+02:00;https://www.matchwalls.com/;Googlebot;4;500;3095;11009;0222d116-9c0a-4e85-a4bd-93aa96a186cf-1783250003;a165f0a89cdf2183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;hd8g;1428;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:26+02:00;https://www.matchwalls.com/;Chrome;1;500;3098;11009;a639dbfb-c1c6-4c41-bfa7-b5e143324282-1783250006;a165f0bbfc662183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;8p5v;1471;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:29+02:00;https://www.matchwalls.com/;Chrome;2;500;3137;11009;095f1480-7fac-4c9c-980f-155bf4bb0690-1783250009;a165f0cf5a392183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;kt9g;1325;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:33+02:00;https://www.matchwalls.com/;Chrome;3;500;3115;11009;b56767e7-b84c-4496-93df-52ce2410e934-1783250012;a165f0e2f8d12183-MAD;cloudflare;text/html; charset=utf-8;private, no-store;MAD;178399019384;index;vs2h;1429;Shopify generic error page
MW-CRAWLERS-HOME-500-HEADERS-RECHECK-013F1B;2026-07-05T13:13:36+02:00;https://www.matchwalls.com/;Chrome;4;200;1496;1716597;f054d91b-64bc-4ddf-a067-926a2d8571b1-1783250015;a165f0f689112183-MAD;cloudflare;text/html; charset=utf-8;;MAD;178399019384;index;2t67;;html
