filename,checksum_md5,size
"snippets/dialog-talla.liquid","7163507995671eb98efd338a9838e2c7","4228"
"snippets/direction.liquid","e38f1c73d2080c32a0097906239dc06e","280"
"snippets/facade-variants.liquid","29d8e8e5f33e46e7838a78e10cd93424","641"
"snippets/facets-vertical.liquid","4006bee32de6da0f4e2520bd6e9752db","8081"
"snippets/free-shipping-bar.liquid","25326a160448426588db1ebb3ab282ae","1848"
"snippets/horizontal-product.liquid","54c82f73baf03fea727717863e5d740c","3798"
"snippets/icon.liquid","ef94f41d00b2a22ad156d8e6d2dbc6c8","106059"
"snippets/input.liquid","cb1665b5add3b58f56343d75798b7f92","3726"
"snippets/inventory.liquid","b6d1cd0e6caa16362d11bbd7d3c2e0e2","3433"
"snippets/js-variables.liquid","bc22f73941e3a510e8f1d5dd7c453728","4826"
"snippets/line-item.liquid","7f8086d4efcf357d08bd2f5ee791f6c8","5703"
"snippets/loading.liquid","15634b17365025ba2be85d2f950029d9","456"
"snippets/localization-selector.liquid","31f9694c7501ea945fea7ee0823e9275","6915"
"snippets/logo-matchwalls.svg.liquid","cdf092aca6cac7fdcfe48efbf688853a","2736"
"snippets/media.liquid","c04a004e5344c6ea16d75bc166dcc57c","3324"
"snippets/mega-menu-horizontal.liquid","cf967b5d516659a4eea3617798a92f30","5602"
"snippets/microdata-schema.liquid","2c64862b6e4d664f12e4d3b89157bb1c","9883"
"snippets/minimum_price.liquid","e0988408e9ad73cbafb99fd2fb1bbfba","1480"
"snippets/navigation-panel.liquid","7517e81fabcc540c92589c8890774fcb","14185"
"snippets/navigation-promo-block.liquid","f461f31e9781faf9f4031176e2af1a0b","13055"
"snippets/offer.liquid","7a4289abb02e258228c4cadc6636f346","2811"
"snippets/option-value.liquid","f1779d8adde4e91c593a19e00809a0c1","11702"
"snippets/pagination.liquid","95fd87dfabbcd2c07c5cc100f098781d","2206"
"snippets/pandectes-rules.liquid","5df34d10ca63a726e495aed7e54affb0","36566"
"snippets/pickup-availability.liquid","5ce0b05ef8ae429b8a428bcb6255a48f","4707"
"snippets/predictive-search-result-item.liquid","a30a9e4d9c645f793ad6da5f58813bda","3328"
"snippets/price-list.liquid","30fcd79ac3197825654b1539f5ccb3f8","9054"
"snippets/price-range.liquid","db0d5748e0cebc3b6d05b3aef15cca7a","3400"
"snippets/product-badges.liquid","5242cbb78e2c46f8d18b6b5e133f3abd","3703"
"snippets/product-card-placeholder.liquid","285505964088e1e3d2bb0223082d30bb","4145"
"snippets/product-card.liquid","19e7ea5038d173ac1d30234de6c106b4","19526"
"snippets/product-customizer-mural.liquid","c5eef8c75afb3d89fc9d12beece23560","6659"
"snippets/product-customizer.liquid","1e1387b939cea03bcd71c144a45ccda5","15675"
"snippets/product-file-uploader.liquid","4fcee1151d622fff35fac0aa4ec97ac6","5046"
"snippets/product-gallery.liquid","945089265bacd5dfa121977caad487b4","11305"
"snippets/product-info.liquid","68d14b6f340c12a15b5a318b3609e4be","37894"
"snippets/product-rating.liquid","7bd187858136a0d74e157340a6fb0253","2308"
"snippets/product_colors.liquid","952926b29129529d108c5b3d8e265665","12737"
"snippets/rolls-calculator.liquid","2f0e9ac7e50ccc5246d089ef565b445f","7677"
"snippets/scrollbar.liquid","64c3ef379ce52e43163838a422141c5e","1531"
"snippets/section-header.liquid","5fe51bc442c895f89b9d5036bfff59f5","2535"
"snippets/section-properties.liquid","6e4818e9e691732aa849c50df575b3df","3894"
"snippets/section-spacing-collapsing.liquid","79b261f0aa1c6d6e90e4d73a7b39e951","2714"
"snippets/select.liquid","898b33bb632b08094b28bde2543ae5e6","1728"
"snippets/shadow-dom-templates.liquid","0285456038f6eb6b70622b2f5e7eac83","1746"
"snippets/share-link.liquid","a08a8e0ea2426a6656dca7e3c0718636","1368"
"snippets/shipping-estimator.liquid","4170419d8f65263bc852416ca6c90dbb","1658"
"snippets/social-media.liquid","4eaf253f91795b007aeb56506925c13d","7440"
"snippets/social-meta-tags.liquid","b29a0a7fe8c7256258dbea1147845f34","3458"
"snippets/styled-text.liquid","2fc6dc64751bec261ac60b1cb17c766f","2060"
"snippets/surface.liquid","ba10376296ea9451a7cb8dcf7a0c7e4b","2029"
"snippets/tabs-content.liquid","f023631f896695b291ffc9adb7ed9e0d","11186"
"snippets/ultimate-datalayer.liquid","449db7505f61b2f81c835cc32669c37c","57168"
"snippets/variant-picker.liquid","eb0afae46bfdd85f8dc609d7829b1d69","11605"
"snippets/vendor.liquid","6a7434c524105903e2f3cbeff7a3d861","1073"
"snippets/wishlisthero-collection-product.liquid","dd968616e290f151e73bcb973d4b2429","1382"
"snippets/wishlisthero-header-icon.liquid","f1146ebe53180ab73ed384280ecb272e","1929"
"snippets/wlh-icon-bookmark-empty.liquid","46e08b966f98a0b3db1cc16745eb9188","720"
"snippets/wlh-icon-heart-empty.liquid","93680c022063520c68152d89a8ac56d4","1013"
"snippets/wlh-icon-star-empty.liquid","a2bbbdb9c40ae61f13d2882274107ca2","818"
"templates/404.json","9aa255296ecfbac0cf677060845396a1","78"
"templates/article.json","68c1b4ff1e46355d271491d362c3c868","517"
"templates/blog.json","c786b1b53fb5d980ea5f978833232682","5548"
"templates/blog.social-prensa-y-afiliac.json","646e8418319e5f4672ebaabaa948ad6b","1561"
"templates/cart.json","2a2e400b4665acd24828c2ca1a69988f","872"
"templates/collection.json","f94fc157053cccd2f76567febd082733","7233"
"templates/collection.papeles-pintados.json","723af57a914d78f1952c9e625cf717b5","6283"
"templates/customers/account.json","5b92794de86e2abfb8e7c99535d46bd8","163"
"templates/customers/activate_account.json","555633b152e46959bf3fcb783103363e","95"
"templates/customers/addresses.json","4c03ab1650130ac7607b2b86a7470ae1","88"
"templates/customers/login.json","5760a6ecbdd623360fbdd3d111e7e67a","161"
"templates/customers/order.json","c67f38440e7ed1f3b8b54aa7b8d9d99f","84"
"templates/customers/register.json","14c66e261c88b03c77a548ad6f40698b","164"
"templates/customers/reset_password.json","d6d5a29d4ce15fed19656ebeebc13912","93"
